,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
0,레노버 아이디어패드 Slim3-15ITL 5D WIN10 16GB램,"637,190",39.62cm(15.6인치),코어i5-11세대,윈도우10,16:9,○,DDR4,16GB,256GB,M.2(NVMe),Iris Xe,○,○,,,19.9mm,1.65kg,총3개,,○
1,삼성전자 갤럭시북 NT750XDZ-AM58S,"711,000",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,LPDDR4x(온보드),8GB,256GB,M.2(NVMe),Iris Xe,○,○,54Wh,65W,15.4mm,1.55kg,총4개,○,
2,LG전자 2022 그램16(12세대) 16ZD90Q-EX76K,"2,249,000",40.6cm(16인치),코어i7-12세대,미포함(프리도스),16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),RTX2050,○,,90Wh,65W,16.8mm,1.285kg,총4개,○,
3,레노버 요가 Slim7 Carbon 14ACN6 82L0004YKR,"1,568,000",35.56cm(14인치),라이젠7-4세대,미포함(프리도스),16:10,,LPDDR4x(온보드),16GB,1TB,M.2(NVMe),MX450,,○,61Wh,,14.9mm,1.09kg,총3개,,○
4,레노버 V15 G2 82KD000UKR 8GB램,"444,990",39.62cm(15.6인치),라이젠5-4세대,미포함(프리도스),16:9,,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,,38Wh,,19.9mm,1.7kg,총3개,,○
5,LG전자 2022 울트라PC 15UD40Q-GX30K WIN10,"544,370",39.6cm(15.6인치),라이젠3-4세대,윈도우10,16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,49Wh,65W,19.1mm,1.75kg,총3개,○,
6,MSI GP시리즈 GP66 Leopard 11UG,"1,635,000",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3070,○,○,65Wh,280W,23.4mm,2.38kg,총3개,○,
7,MSI 모던시리즈 모던14 B5M-R5,"629,000",35.56cm(14인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,8GB,512GB,M.2(NVMe),Radeon Graphics,○,○,39Wh,65W,18.1mm,1.3kg,총3개,○,
8,LG전자 2022 그램16(12세대) 16ZD90Q-EX56K,"2,049,000",40.6cm(16인치),코어i5-12세대,미포함(프리도스),16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),RTX2050,○,,90Wh,65W,16.8mm,1.285kg,총4개,○,
9,레노버 LEGION 5 Pro 16ACH R7 STORM,"1,539,000",40.6cm(16인치),라이젠7-4세대,미포함(프리도스),16:10,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,,○,80Wh,,21.7mm,2.59kg,총6개,○,
10,한성컴퓨터 올데이롱 TFX5556U,"999,000",39.62cm(15.6인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,16GB,500GB,M.2(NVMe),Radeon Graphics,○,○,91.24Wh,65W,18mm,1.4kg,총4개,○,
11,ASUS ROG STRIX G17 G713RM-LL121,"1,660,000",43.94cm(17.3인치),라이젠7-5세대,미포함(프리도스),16:9,,DDR5,8GB,512GB,M.2(NVMe),RTX3060,,,90Wh,240W,28.3mm,2.9kg,총4개,○,
12,삼성전자 갤럭시북2 프로360 NT950QED-KC71G,"2,036,690",39.6cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,,68Wh,65W,11.9mm,1.41kg,총3개,○,
13,ASUS ROG STRIX G17 G713RS-LL012,"2,780,000",43.94cm(17.3인치),라이젠9-5세대,미포함(프리도스),16:9,,DDR5,16GB,1TB,M.2(NVMe),RTX3080,,,90Wh,280W,28.3mm,2.9kg,총4개,○,
14,레노버 LEGION 5i Pro 16ITH I7 STORM 3060,"1,640,000",40.6cm(16인치),코어i7-11세대,미포함(프리도스),16:10,○,DDR4,16GB,512GB,M.2(NVMe),RTX3060,,○,80Wh,,21.7mm,2.6kg,총6개,○,
15,삼성전자 갤럭시북2 프로 NT950XEE-XC71S,"1,906,350",39.6cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,512GB,M.2(NVMe),Arc A350M,○,,68Wh,65W,13.3mm,1.17kg,총3개,○,
16,LG전자 2022 그램17 17Z95P-GA76K,"1,757,200",43.1cm(17인치),코어i7-11세대,윈도우11홈,16:10,○,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
17,ASUS ROG Flow X13 GV301RA-LJ039W,"1,590,000",34.03cm(13.4인치),라이젠7-5세대,윈도우11홈,16:10,,LPDDR5(온보드),16GB,512GB,M.2(NVMe),Radeon 680M,,○,62Wh,100W,15.8mm,1.3kg,총3개,○,
18,LG전자 2021 그램16 16ZD90P-GX56K WIN10,"1,281,300",40.6cm(16인치),코어i5-11세대,윈도우10,16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,16.8mm,1.19kg,총4개,○,
19,ASUS 비보북 S 16X S5602ZA-L2014,"1,480,000",40.8cm(16인치),코어i7-12세대,미포함(프리도스),16:10,○,DDR4,16GB,512GB,M.2(NVMe),Iris Xe,,○,70Wh,90W,17.9mm,1.8kg,총4개,○,
20,ASUS ROG Flow X13 GV301RE-LJ118W,"1,990,000",34.03cm(13.4인치),라이젠7-5세대,윈도우11홈,16:10,,LPDDR5(온보드),16GB,512GB,M.2(NVMe),RTX3050 Ti,,○,62Wh,100W,15.8mm,1.3kg,총3개,○,
21,LG전자 2022 울트라PC 15UD40Q-GX50K,"724,990",39.6cm(15.6인치),라이젠5-4세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,49Wh,65W,19.1mm,1.75kg,총3개,○,
22,APPLE 2021 맥북프로16 MK193KH/A,"3,287,290",41.05cm(16.2인치),실리콘 M1 PRO,macOS Monterey,,,,16GB,1TB,SSD,M1 PRO 16 core,○,,100Wh,140W,16.8mm,2.1kg,총3개,○,
23,삼성전자 갤럭시북 NT750XDZ-A51A WIN10,"950,000",39.6cm(15.6인치),코어i5-11세대,윈도우10,16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,54Wh,65W,15.4mm,1.55kg,총4개,○,
